ID,sex,owngun,race,marital,relig,attend3,partyid,degree,cappun,homosex2,premarsx2,grass,gunlaw,vote08,divlaw,getahead,natroad,natsci,eqwlth,age
1956,1,1,1,1,2,1,5,2,1,1,,2,2,1,,1,2,2,1,60
739,1,2,1,1,2,1,3,2,1,1,,2,1,1,,3,1,1,1,62
1593,2,1,1,4,1,1,7,1,1,0,,1,1,1,,1,1,1,7,69
164,2,2,1,3,1,2,2,2,2,0,,1,1,1,,1,,,4,65
2,1,2,1,5,2,1,5,2,1,1,,1,1,,,1,2,1,3,21
1869,2,1,1,1,11,2,1,1,1,1,0,,2,1,2,1,1,2,,56
1165,2,,2,5,11,3,1,2,2,,0,1,,1,1,,2,2,1,23
900,1,,1,2,1,1,6,2,1,,0,1,,1,2,,2,2,5,47
1902,2,2,1,3,1,,5,2,2,1,,2,1,1,,2,1,3,7,61
104,1,2,3,1,2,1,6,2,1,1,,2,1,2,,1,3,2,1,27
522,2,2,2,5,4,2,2,2,1,0,,2,2,1,,1,3,2,1,30
1072,2,2,1,1,11,3,6,2,1,,,2,1,1,,1,1,3,1,60
767,2,1,1,3,1,2,7,1,1,1,0,,1,2,1,2,1,1,,51
1688,1,,1,5,1,1,4,2,1,,1,1,,,1,,1,1,1,21
1438,2,2,1,1,1,2,2,2,2,1,,,1,1,2,1,2,1,,59
1719,1,1,1,1,1,3,6,2,1,1,0,,2,1,,1,3,3,,49
128,2,2,1,1,2,2,4,1,1,0,,2,1,2,,1,2,2,1,40
648,1,1,1,1,4,1,4,2,1,0,1,,2,2,3,1,1,1,,37
548,2,2,2,5,1,1,1,2,1,1,,2,1,1,,1,1,2,4,60
430,2,2,1,1,3,1,6,2,1,1,,2,1,1,,1,2,1,6,44
1831,2,1,1,1,1,1,6,2,1,1,0,,2,,3,1,1,2,,35
1285,1,2,2,3,6,3,3,2,2,0,,1,2,1,,3,1,1,2,63
1920,2,,1,5,1,1,6,2,,,0,1,,2,2,,1,1,4,23
1073,1,,1,5,1,2,3,2,2,,,1,,2,,,1,1,5,31
